distrito,barrio,precio_m2_barrio
Alcalá de Henares,Alcalá de Henares,3.1102548979591833
Arganzuela,Acacias,4.674999772727273
Arganzuela,Arganzuela,5.826023255813953
Arganzuela,Chopera,4.184892857142858
Arganzuela,Delicias,4.336071084337349
Arganzuela,Imperial,5.325009339622641
Arganzuela,Legazpi,5.697927586206896
Arganzuela,Palos de la Frontera,4.808968354430379
Barajas,Aeropuerto,1.5275
Barajas,Alameda de Osuna,5.817142857142857
Barajas,Barajas,8.454347826086957
Barajas,Casco Histórico de Barajas,3.1274333333333333
Barajas,Timón,7.124916666666667
Carabanchel,Abrantes,2.0463666666666667
Carabanchel,Buena Vista,2.5574666666666666
Carabanchel,Carabanchel,2.544448571428571
Carabanchel,Comillas,2.7535765625
Carabanchel,Opañel,2.41752641509434
Carabanchel,Pau de Carabanchel,4.1129487179487185
Carabanchel,Puerta Bonita,1.99313515625
Carabanchel,San Isidro,2.4453151515151514
Carabanchel,Vista Alegre,2.4267833333333333
Casco Histórico,Casco Histórico,8.25
Centro,Centro,10.704824028925621
Centro,Chueca-Justicia,11.639299937499999
Centro,Huertas-Cortes,8.988669902912621
Centro,Lavapiés-Embajadores,3.8870412099644125
Centro,Malasaña-Universidad,7.183214893617021
Centro,Palacio,5.848519716981133
Centro,Sol,9.819514970059881
Chamartín,Bernabéu-Hispanoamérica,9.582614418604651
Chamartín,Castilla,8.222828571428572
Chamartín,Chamartín,20.34014487804878
Chamartín,Ciudad Jardín,9.579808727272729
Chamartín,El Viso,23.837
Chamartín,Nueva España,17.246326530612244
Chamartín,Prosperidad,5.640212553191489
Chamberí,Almagro,18.46396629213483
Chamberí,Arapiles,7.366932432432432
Chamberí,Chamberí,18.225308988764045
Chamberí,Gaztambide,8.514479452054793
Chamberí,Trafalgar,16.333333333333332
Chamberí,Vallehermoso,11.42089776119403
Ciudad Lineal,Atalaya,12.66235294117647
Ciudad Lineal,Ciudad Lineal,6.945277108433735
Ciudad Lineal,Colina,10.757026129032257
Ciudad Lineal,Concepción,4.600758275862069
Ciudad Lineal,Costillares,7.393664693877551
Ciudad Lineal,Pueblo Nuevo,3.0895190839694657
Ciudad Lineal,Quintana,3.522365909090909
Ciudad Lineal,San Juan Bautista,5.988615384615385
Ciudad Lineal,San Pascual,6.706452
Ciudad Lineal,Ventas,2.996932363636364
Coimbra - Guadarrama,Coimbra - Guadarrama,3.8857363157894738
El Pilar - Bripac,El Pilar - Bripac,4.2579738095238095
El Soto - Coveta,El Soto - Coveta,5.022758620689655
Ensanche,Ensanche,3.3921666666666668
Este,Este,2.285429
